,Q147.OtherInfoAreas,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q162.MainChallengesOnFarm,Q163.SolutionsToAddressProblems,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q171.MakeSharingEasier,Q21.Income.Other.O6.Text,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q95.BankLoanFacilityChallenges,Q97.BankCreditChallenges,Q99.SACCOChallenges
0,biogas,1.0,expertise to assist,workers sometime are not available,i look for  others,biogas usage,how to inform farmers on the project,airtime to call them,loans,tea is now mature,,High repayments and interests,interest charged is high,Restrictions on loan repayment
1,"biogas ,record keeping,soil conservation",2.0,to be trained by oep,"neighbours cattle coming to my farm,moles destroying tea",none,"soil conservation, record keeping",none,none,pluckers,good rain,,Unfriendly bank restrictions and poor tea prices,less kilos affect payments of the loan and credit,Poor management
2,best dairy farming,,expert  to train me,workers who pluck tea are not available,weeding and spraying,dairy farming,distance to other farmers,posters to be provided,Farming costs,drought has not been experienced,,"long quees
high interest rate per month",,None
3,"soil management,value addition",,be provide with finance,drought,i pluck alone,soil management,Getting time for demonstration because they take long,nothing,Cow feeds,"prolonged drought,hailstorms this year",,long quees,,Taking a lot of time to approve and disburse loans
4,"soil testing in my farm,bee keeping",,being trained on soil management,"drought,expensive fertilizers ,soil erosion",we pluck as family,"soil management, bee keeping",Others doesn't accept teachings/trainings,information to be announced by oep,development,"storm,drought",,no problem so far,,long processing time with high interest
5,soil ph,,expert to train me on tea farming,"drought,weeds and pest",loan,"soil erosion,weed management",Others may not implement teachings,finance on transportation,workers wage,"lack of enough rain,expensive fertilizer",,damage of tea bushes by drought or hailstones renders high bank interest due to delay,,limited credit limit by sacco
6,water and soil management,,training on best farming practices,"workers are not available to pluck ,as i am sick",Going out to look for jobs/labour to increase my income,soil management and training on best tea farming,Some people do not believe or implement farming ideas,i need to be trained first,farming,drought this year,,not affordable,,restricted credit limit
7,dairy farming,,provided with  tea seedling,"drought,no enough workers or pluckers",Buy farm inputs in time during a cheap season,New information I will trained or shown about farming,Some people don't accept teachings/training from us the locals but accept new visitors/extension officers to train,Having group trainings and official visitors to give us more and new information,development ,drought,,not so far,,"limited credit limit
delayed remittance"
8,"Newer practises to improve farming, harvesting and production.",,Financial help and training,finance to buy fertilizer,Leaving tea to grow and leaves/branches touched each other (canopy-like) and weeds wouldn't grow much,The soil management and new farming techniques,Logistics,I don't know,development buying land,enough rain,,no problem,,restricted credit limit. it depends on delivered g
9,I need to know more about soil,,Getting newer seeds of tea because my type is older,Prices of farm inputs are high and low income after productions,Mulching and using organic manure,The teachings,Transport and other expenses,Call them to seminars,"invest on developments, pay wages,contribute to society",tea has matured this year,,crop damages through bad weather,,credit limit is low depends on my shares
10,Record Keeping and tea plantations and management,,Being trained,"Weather, prices of farm implements",None,The new ideas of farming,Some people exposure and lack of information makes it hard. Time also is a factor.,Needs Demonstration farms and workshops,wages,Minimal rainfall,,ff,,reduce production of tea
11,Trainings on tea and value addition,,Support financially and trainings,Weeds,Uprooting and throwing them away in the road,Fertilizer usage,Few people and delays in implementation,Materials and demonstration farms,"wages, development",Bad weather,,"High interest rates charged by banks,
low credit limit accorded to me due to the
flactuating tea prices.",,"credit limit is limited by shares held
repayment"
12,Tea and Management,,Finances and training,Weather,Seeking reliable labourers,New farming practises,People may lack all the necessities to apply the knowledge and skills learnt,Financial Support,"wages, developments",We used fertilizers and steady rainfall,,"high interest charged by banks
limited credit limit",,my share is my security thus low credit limit
13,To get more produce from tea farming hence good income,,Finances,Weather and hailstones,Planning to uproot old model of tea,About how I was thought,"Time management, finances and materials",Finances,"wages, improve my farm",Waether,,"interest charged on loan
fluctuating prices of security (tea prices)",,"loan value is limited by shares held
repayment"
14,Tea productions,,Finances and knowledge,Workers/pluckers need more money,"Using mice straps, weeding, support to bananas using trees, planting trees",The new farming techniques,communiction is a major constrain,"Logistics and give resource persons, training materials too.","wages,saving,animal feeds",Weather,,not hard to access,,no challenge
15,Tea,,"Loans, marketing and training",Old clown tea lack good productions,Spraying,Telling farm practises I am aware of. New teachings,language barriers and poor communication,Demonstrations sites/farms,"wages,",Produce from land was good and sufficient,,"interest rates are high,
fluctuating tea yield leading to inability to service loans",,"delay to credit my account 
credit limit is low"
16,"Soil PH levels, composting",,visit by the extension officers to the farm,"Pests, Weeds and Bad weather",Uprooting bad weeds not destroyed by spraying with chemicals,How to increase their production,"drought
poor prices",Doing regular visits to check the farmers' progress,animals feeds,Good produce and health of crops,,repayment period especially during hail damage,,none
17,"Fertility, soil conservation, irrigation and Farm management skills",,being trained,"Weeds, Pests and diseases",not yet,"Weeding information, soil management",language barrier and education level,Financial and manual/materials support,"animals feeds, savings",Good weather,,low  credit limit because my security is agricultural produce which is highly affected by weather,,"its not active,take time to given loan"
18,how to preserve milk,,training on best farming practice and acces to finance,"Transportation of farm produce is far, weather, expensive labour on tea plucking, bad weeds",diversify on food crops,how to do hydroponic practices,not really depent on the other farmer,have a localised system of farming,"wages,savings,development, daily expenses",Good crops,,"credit limit
repayment challenges",,Repayments during low season is a problem
19,more of training on farm records and new farming techniqes,,financial support to purchase modern beehives,pest,i have tried to employ some on contract basis,how to improve on banana production,poor communication,improve on communication systems,"development,wages,saving",Weather and composting,,repayment problem since tea yield varies depending onbweather,,sometime there is no enough funds
20,,,"to trained
to be boosted financially so as to construct dairy farm",lack of knowledge and high cost of living,putt tarraces to prevent water,how to do and practice soil and water management,ilitrecy some of us did not go to school,have the presentation on understandable mode,"wages,savings",Fertility degradation,,low tea yield makes my credit limit low,,limitation of funds amount
21,"proper Records keeping,
Good farming practices that cam improve yield",,"accessibility to finance
storage facility
transportation

lack of electricity",plucking labour constrains on flactuation of tea prices,tarecess,how to improve farming of tea,negligents,improve on farmer communication,"saving,development,animal feeds",due to heavy rainfall accomoanied byhailstones,,"limited credit limit
low value security",,reduced production increase interest
22,"fishery  
farm segmentation to improve yield
good farming practices,
proper tea growing
good record keeping",,"financial support
and training","heavy rainfall
drought",building gabions,news ways of milk processing before selling,language,educate farmers on farming techniques,"wages, savings, develoment",perserver drouth hit tea bushes,,interest rates is high,,poor weather sometimes affect the income
23,"cattle rearing 
better farming skills to increase tea yield
soil testing to enable know the best fertilizer",,"when trained on the new techniques
buy me a cow  i will be happy",poor communication to my fellow farmers,put mulching materials,how to construct taracess,communication and negligence,visit farmers regularly,"saving,development,daily home expenses",weather changes,,interest rates are high,,delay in disbursement of the loan
24,"soil testing,
financial access",,financial support to fund me start the business,not knowing the practices how they are don fully,construction of terraces,pruning,,reduce adult iliteracy through teaching them,"animal feeds,wages",heavy rainfall accompanied by hailstones,,"delay in remittance
low credit limit 
high interest charged
long process to acquire loan",,so far no challenges
25,"record keeping
soil acidity,
how to improve yield
proper tea plucking",,financing to enable land acquisition and also provision of resources,drought and run off water,dd,how to get quality tea,resistance by the recipient to the new idea,educate us on faring practices,"wages,animal  feeds,savings,",increased kgs plucked so far,,repayment period is low and high interest and credit limit is limited by the amount of crop previously produced,,low production of tea sometimes affect payement
26,"biogas
greenhouse
water filtration
poultry keeping",,i request for seedling or financial support,heavy rainfall and hailstones,intercroping and  planting shed trees,not in a position,inadequate resources such as time and recipient resistance,educate the farmers on the importance of other farmers in production,"wages, animal feeds,",poor tea production,,repayment during low is a great challenge,,low credit limit depends on my shares
27,"soil ph value that is salinity and acidity 
biogas record keeping",,financial support to be granted to enable me do them,weather changes and heavy rainfall with less fertiliser suplied by the company,"manual weeding 
chemical use to solve pest and diseases
access to funds to facilitate acquisition of transport means like motor cycle",placement of mulching materials,lack of resources to train,use farm promoters,"wages,developments",pruning of the tea,,due to low crop yield  and fluctuating tea price loan credit is low,,low amount of money disbursed by the sacco
28,"soil testing 
fertilizer 
biogas",,access to finance,weather changes,"manual weeding and chemical weeding
i request my farm soil to tested",my neighbours,"poor attendance to training and demonstration
resistance by farmers",have the meetings frequent in the buying centers,"wages, developments, daily expenses",planted new tea pushes,,fluctuating crop yield lows credit limit,,no problem so far
