OldColName,NewColName
SbjNum,SbjNum
Filter,Filter
Date,Date
Srvyr,Srvyr
SbjNam,SbjNam
UsrUnq,UsrUnq
Duration,Duration
Upload,Upload
SubjData,SubjData
RvwTime,RvwTime
RvwComment,RvwComment
SrvyrComment,SrvyrComment
Complete,Complete
StopQ,StopQ
Test,Test
ParentID,ParentID
Latitude,Latitude
Longitude,Longitude
Status,Status
UTCDiff,UTCDiff
QAScore,QAScore
FrScName,FrScName
ExReNum,ExReNum
VStart,VStart
VEnd,VEnd
RvwName,RvwName
Qn. 1 DISTRICT,Q1-District
Qn. 3 WHICH COOPERATIVE SOCIETY DO YOU BELONG TO?,Q3-CoopSociety
Qn. 4 WHICH VILLAGE DO YOU COME FROM?,Q4-Village
Qn. 5 WHAT IS YOUR CO-OP MEMBERSHIP NUMBER?,Q5-MembershipNumber
Qn. 6 CONTACT PERSON/SHED CHAIRPERSON,Q6-ContactPerson
Qn. 7 NAME OF PRODUCER ORGANISATION,Q7-ProducerOrg
Qn. 8 Do you consent to participate in this interview?,Q8-Consent
Qn. 10 Sex,Q10-Sex
Qn. 11 What is your age?,Q11-Age
Qn. 12 Education level,Q12-Education
Qn. 13 Are you a ...?_O1,Q13-Role-O1
Qn. 13 Are you a ...?_O2,Q13-Role-O2
Qn. 13 Are you a ...?_O3,Q13-Role-O3
Qn. 13 Are you a...?_O4,Q13-Role-O4
Qtn.Other Category of respondent_13_S,Q13-Role-O4-Text
Qn. 14 Are you a member of any local group/s?,Q14-LocalGroups
Qn. 15 If yes which local groups local society O1,Q15-LocalSociety-O1
Qn. 15 If yes which local groups youth group O2,Q15-YouthGroup-O2
Qn. 15 If yes which local groups men's group O3,Q15-MensGroup-O3
Qn. 15 If yes which local groups women's group O4,Q15-WomensGroup-O4
Qn. 15 If yes which local groups community group O5,Q15-CommGroups-O5
Qn. 15 If yes which local groups SACCO O6,Q15-SACCO-O6
Qn. 15 If yes which local groups Others/Specify O7,Q15-Other-O7
Qtn Other type of_15_S,Q15-Other-O7-Text
Qn. 16 How many people are dependent on your farm / household?,Q16-Dependents
"Qn. 17 Of them, how many are men?",Q17-Dependents-Men
"Qn. 18 Of them, how many are women?",Q18-Dependents-Women
