,Q147.OtherInfoAreas,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q162.MainChallengesOnFarm,Q163.SolutionsToAddressProblems,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q171.MakeSharingEasier,Q21.Income.Other.O6.Text,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q95.BankLoanFacilityChallenges,Q97.BankCreditChallenges,Q99.SACCOChallenges
0,Information about new farming technics,2.0,if i get more capercity building,limited farm inputs,Not yet sofar,vist farmers direct,some farmers are not co operative,talk to farners about the benrfits,pat labour,its amall and i have over used it,non,profits are high,,Delay on payment from the factory
1,,1.0,Capacity building in cattle treating,finance to support my farm,i ask for loans from SACCOs,I would share how can one come up with ideas,best time to get farmers would be a challenge,come up with workplan n working together with the farmers,paying workers,we dont get manuel,High interest rates,we get money late,,still profits are high
2,record keeping and best way to get good products of tea,,Not answerd,getting fertilizers for better tea produces,Have come up with income generating activities,mobilise farmers on the centres and talk to them,transport costs and timing,Work with fellow farmers to provide time,investments,Its not fertile,delays in getting the loan,i dont face any challenge,,we dont get enough money from SACCOs
3,i want to go on expossure vists,,Not answered,"soil fertility 
and 
price fractuation",We use local organic fertilizers,Best practices,Most farmers dont turn up,get modal farm in our community,paying for labour,fertility is the same,"ghdhsjf
hshshsjsj
jjdjdhso",many to pay back is a challenge,,intreasts rates are so high
4,best way to treat cows,,Good information if given to me,farm inputs and coffee diseases,using of local fertilizers,,farmers dont turne up.,To work with serious farmers,improving my farm,Fertility is poor,if i get low yields its not easy to pay back the loan.,i fail to pay in time becouse i delay to get money from the Factory,,paying back is challenging due to tea price change
5,Advise about improved farming,,get support from farmer organisatiop,farm inputs and Financial support,Have not come up with any,the exact information i get  from the source,,,pay workers,land is infertile,,"High interest rate and background checks where they take photos of all your property.
They also do not give exactly what we ask for,they give less.",,No challenges
6,market strategies on regional level,,getting financial support would help,soil fertility,apply of local feryilizers,information n ideas,financail challengesp,if given means if movement to meet farmers,house hold requirmentd,Infertility,,"high interest rates.
change of seasons and we fail to pay in time",,they delay to give us the money.cant give large su
7,"how to keep more fertility on our soils and 

informatio  about new crops",,Geting enough information,"soil fertility 
weeds",use local fertility,i would share knowledge,negative attitude,routine sensitization,Invest it in trading,pests and diseases,,I get money and time normally runs out for taking back the money since farming is seasonal,,Many fraudulent people
8,more information about Challenge that we face everyday,,Good training and financial support,soil fertility and limited information,geting help from other farmers,Knowledge,Some farmers dont show intreast,more senstization,ivestments,its not fertile enough,,Pay back is very challenging.,,High interest rates
9,Where a farmer can get cheap farm inputs,,geting enough land,"Fertilizers
pests and diseas",we use local cheap methods like mulching,Information,farmers are hard to get,find them on their farm,"telephone,radio batteries",the land has been over used,,high interest rate,,No challenges yet.
