,Q28Kenya,Q28Kenya.Reponse1.Level1,Q28Kenya.Reponse1.Level2,Q28Kenya.Reponse1.Level3,Q28Kenya.Reponse2.Level1,Q28Kenya.Reponse2.Level2,Q28Kenya.Reponse2.Level3
,,,,,,,
1,no enough rain,Weather,Rain,,,,
2,tea is now mature,Crops,Matured tea,,,,
3,good rain,Weather,Rain,,,,
4,drought has not been experienced,Weather,Rain,,,,
5,"prolonged drought,hailstorms this year",Weather,Drought,,Weather,Extreme,Hail
6,"storm,drought",Weather,Drought,,Weather,Extreme,Storms
7,"lack of enough rain,expensive fertilizer",Weather,Rain,,,,
8,drought this year,Weather,Drought,,,,
9,drought,Weather,Drought,,,,
10,enough rain,Weather,Rain,,,,
11,tea has matured this year,Crops,Matured tea,,,,
12,Minimal rainfall,Weather,Rain,,,,
13,Bad weather,Weather,Poor ,,,,
14,We used fertilizers and steady rainfall,Weather,Rain,Good / Steady Rain,Inputs,Fertilizer,
15,Waether,Weather,,,,,
16,Weather,Weather,,,,,
17,Produce from land was good and sufficient,Crops,Productivity ,Good,,,
18,Good produce and health of crops,Crops,Productivity ,Good,Crops,Health,Good
19,Good weather,Weather,,,,,
20,Good crops,Crops,Health,Good,,,
21,Weather and composting,Weather,,,Inputs,Compost,
22,Fertility degradation,Crops,Fetility,Degraded,,,
23,due to heavy rainfall accomoanied byhailstones,Weather,Heavy,,Weather,Extreme,Hail
24,perserver drouth hit tea bushes,Weather,Drought,,,,
25,weather changes,Weather,Changing,,,,
,,,,,,,
26,heavy rainfall accompanied by hailstones,Weather,Rain,Heavy,Weather,Extreme,Hail
27,increased kgs plucked so far,Crops,Productivity ,Good,,,
28,poor tea production,Crops,Productivity ,Poor,,,
29,pruning of the tea,Crops,Pruning ,,,,
30,planted new tea pushes,Crops,New tea bushes planted,,,,
31,reduced tea leaves production,Crops,Productivity ,Reduced,,,
32,timely pruning after two and half years,Crops,Pruning ,,,,
33,:-X:-X:-D:-D:-\,,,,,,
34,due to low rain and too much cold,Weather,Rain,Insufficient,Weather,Low temperatures,
35,better rainfall,Weather,Rain,,,,
36,good rain and applied fertilizer,Weather,Rain,,,,
37,massive hailstone lasted for 3 days on the ground,Weather,Extreme,Hail,,,
38,stable rain and good fertilizer,Weather,Rain,,,,
39,good  weather,Weather,Good,,,,
40,hailstone,Weather,Extreme,Hail,,,
41,good rainfall,Weather,Rain,Good ,,,
42,timely and sufficient rainfall,Weather,Rain,Good ,,,
43,good weather such as rainfall and good health,Weather,Good ,,Crops,Health,Good
44,it rained on time,Weather,Rain,Good ,,,
