,Q147.OtherInfoAreas,Q147.OtherInfoAreas.Reponse1.Level1,Q147.OtherInfoAreas.Reponse1.Level2,Q147.OtherInfoAreas.Reponse1.Level3,Q147.OtherInfoAreas.Reponse2.Level1,Q147.OtherInfoAreas.Reponse2.Level2,,Q147.OtherInfoAreas.Reponse3.Level1,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q150.HelpToImplementChanges.Reponse1.Level1,Q150.HelpToImplementChanges.Reponse1.Level2,Q150.HelpToImplementChanges.Reponse1.Level3,Q150.HelpToImplementChanges.Reponse2.Level1,Q150.HelpToImplementChanges.Reponse2.Level2,Q150.HelpToImplementChanges.Reponse3.Level1,Q150.HelpToImplementChanges.Reponse3.Level2,Q162.MainChallengesOnFarm,Q162.MainChallengesOnFarm.Reponse1.Level1,Q162.MainChallengesOnFarm.Reponse1.Level2,Q162.MainChallengesOnFarm.Reponse2.Level1,Q162.MainChallengesOnFarm.Reponse2.Level2,Q162.MainChallengesOnFarm.Reponse2.Level3,Q162.MainChallengesOnFarm.Reponse3.Level1,Q162.MainChallengesOnFarm.Reponse3.Level2,Q162.MainChallengesOnFarm.Reponse4.Level1,Q163.SolutionsToAddressProblems,Q163.SolutionsToAddressProblems.Reponse1.Level1,Q163.SolutionsToAddressProblems.Reponse1.Level2,Q163.SolutionsToAddressProblems.Reponse1.Level3,Q163.SolutionsToAddressProblems.Reponse2.Level1,Q163.SolutionsToAddressProblems.Reponse2.Level2,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q170.ChallengesOfSharingInfo.Reponse1.Level1,Q170.ChallengesOfSharingInfo.Reponse1.Level2,Q170.ChallengesOfSharingInfo.Reponse2.Level1,Q171.MakeSharingEasier,Q171.MakeSharingEasier.Response1.Level1,Q171.MakeSharingEasier.Response1.Level2,Q171.MakeSharingEasier.Response2.Level1,Q21.Income.Other,Q21.Income.Other.Reponse1.Level1,Q21.Income.Other.Reponse1.Level2,Q21.Income.Other.Reponse2.Level1,Q21.Income.Other.Reponse2.Level2,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q93.BankAccountChallenges.Reponse1.Level1,Q93.BankAccountChallenges.Reponse2.Level1,Q95.BankLoanFacilityChallenges,Q95.BankLoanFacilityChallenges.Reponse1.Level1,Q95.BankLoanFacilityChallenges.Reponse1.Level2,Q95.BankLoanFacilityChallenges.Reponse2.Level1,Q97.BankCreditChallenges.Reponse1.Level1,Q99.SACCOChallenges,Q99.SACCOChallenges.Reponse1.Level1,Q99.SACCOChallenges.Reponse1.Level2,Q99.SACCOChallenges.Reponse2.Level1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Information about new farming technics,Good agricultural practices,,,Training,New ideas,,,2,if i get more capercity building,Training,,,,,,,limited farm inputs,Inputs,Limited,,,,,,,Not yet sofar,None,,,,,vist farmers direct,some farmers are not co operative,Poor Committment,,,talk to farners about the benrfits,Share benefits,,,pat labour,Wages,,,,its amall and i have over used it,non,-1,,profits are high,High Interest,,,,Delay on payment from the factory,Delayed Payment from Cooperative,,
1,,,,,,,,,1,Capacity building in cattle treating,Training,Livestock,,,,,,finance to support my farm,Finance,,,,,,,,i ask for loans from SACCOs,Finance ,SACCO Loan request,,,,I would share how can one come up with ideas,best time to get farmers would be a challenge,Time,,,come up with workplan n working together with the farmers,"Work with a group, make a shared plan",,,paying workers,Wages,,,,we dont get manuel,High interest rates,High Interest ,,we get money late,Delayed Loan,,,,still profits are high,High Interest,,
2,record keeping and best way to get good products of tea,Record keeping,,,Farm management,,,,,Not answerd,,,,,,,,getting fertilizers for better tea produces,Fertilizer,Limited,,,,,,,Have come up with income generating activities,Innovation ,Income generating activiteis,,,,mobilise farmers on the centres and talk to them,transport costs and timing,Travel,,Time,Work with fellow farmers to provide time,"Work with a group, make a shared plan",,,investments,Farm Costs,,,,Its not fertile,delays in getting the loan,Loan Delays,,i dont face any challenge,No Challenge,,,,we dont get enough money from SACCOs,Insufficient Disbursement Amount,,
3,i want to go on expossure vists,Training,Farm demonstrations,,,,,,,Not answered,,,,,,,,"soil fertility 
and 
price fractuation",Soil mangement,Fertility,Prices,Price fluctuation,,,,,We use local organic fertilizers,Fertilizers,Organic,,,,Best practices,Most farmers dont turn up,Poor Committment,,,get modal farm in our community,Demonstration farm,,,paying for labour,Wages,,,,fertility is the same,"ghdhsjf
hshshsjsj
jjdjdhso",-1,,many to pay back is a challenge,Repayment Hard,,,,intreasts rates are so high,High Interest,,
4,best way to treat cows,Livestock,Dairy,,,,,,,Good information if given to me,Information,,,,,,,farm inputs and coffee diseases,Inputs,Limited,Pests,,,,,,using of local fertilizers,Fertilizers,Local ,,,,,farmers dont turne up.,Poor Committment,,,To work with serious farmers,Committed Farmers,,,improving my farm,Farm Costs,,,,Fertility is poor,if i get low yields its not easy to pay back the loan.,Farming Challenges,Loan Repayment,i fail to pay in time becouse i delay to get money from the Factory,Repayment Hard,,Delayed Payment from Cooperative,,paying back is challenging due to tea price change,Repayment Hard,Price Shocks,
5,Advise about improved farming,Training,Good agricultural practices,,,,,,,get support from farmer organisatiop,Support,,,,,,,farm inputs and Financial support,Inputs,Limited,Finance,,,,,,Have not come up with any,None,,,,,the exact information i get  from the source,,,,,,,,,pay workers,Wages,,,,land is infertile,,,,"High interest rate and background checks where they take photos of all your property.
They also do not give exactly what we ask for,they give less.",High Interest,Lower amount distributed,Background Check,,No challenges,No Challenge,,
6,market strategies on regional level,Marketing,,,,,,,,getting financial support would help,Finance,,,,,,,soil fertility,Soil mangement,Fertility,,,,,,,apply of local feryilizers,Fertilizers,Local ,,,,information n ideas,financail challengesp,Costs,,,if given means if movement to meet farmers,Funding to travel,,,house hold requirmentd,Daily Expenses,,,,Infertility,,,,"high interest rates.
change of seasons and we fail to pay in time",High Interest,,,,they delay to give us the money.cant give large su,Delayed Disbursement,,Insufficient Disbursement Amount
7,"how to keep more fertility on our soils and 

informatio  about new crops",Soil management ,,,Information,New crops,,,,Geting enough information,Information,,,,,,,"soil fertility 
weeds",Soil mangement,Fertility,Weeds,,,,,,use local fertility,Fertilizers,Local ,,,,i would share knowledge,negative attitude,Poor Committment,,,routine sensitization,Sensitization,,,Invest it in trading,Investment,,,,pests and diseases,,,,I get money and time normally runs out for taking back the money since farming is seasonal,Repayment Hard,Farming Challenges,,,Many fraudulent people,Fraud,,
8,more information about Challenge that we face everyday,Information,,,,,,,,Good training and financial support,Training,,,Finance,,,,soil fertility and limited information,Soil mangement,Fertility,Information,Limited access,,,,,geting help from other farmers,Support ,Other farmers,,,,Knowledge,Some farmers dont show intreast,Poor Committment,,,more senstization,Sensitization,,,ivestments,Investment,,,,its not fertile enough,,,,Pay back is very challenging.,Repayment Hard,,,,High interest rates,High Interest,,
9,Where a farmer can get cheap farm inputs,Inputs,Affordable,,,,,,,geting enough land,Inputs,Land,,,,,,"Fertilizers
pests and diseas",Inputs,Fertilizer,Pests,,,,,,we use local cheap methods like mulching,Fertilizers,Local ,Mulching,,,Information,farmers are hard to get,Time,,Logistics,find them on their farm,Visit Fellow Farmers Farms,,,"telephone,radio batteries",Telephone,Radio Batteries,,,the land has been over used,,,,high interest rate,High Interest,,,,No challenges yet.,No Challenge,,
10,How best to manege water,Water management,,,,,,,,more information and materials,Inputs,Materials,,Information,,,,Soil manegment,Soil mangement,,,,,,,,come up with local solutions,Innovation ,Local solutions,,,,about information,Farmers are ever busy,Time,,,working in a group,"Work with a group, make a shared plan",,,looking after the farm,Farm Costs,,,,its still fertile,,,,high interest rates and long distances to the banks.,High Interest,,Long Distance,,The loan given is based on the coffee quantity,Farming Challenges,,
11,New farming methods,Training,New ideas,,Training,Good agricultural practices,,,,intervation from farmer supporters,Training,,,,,,,Tea price is low we cant afford the workers,Prices,Low prices,Labour ,Costs,,,,,we sale tea to other buyers,Sell,Tea,,,,new ideas and information,Fercilition of trainers interms of material to use,Lack of information/resources/demonstrations,,,work with Government,Work with government ,,,Medicine for animals,Livestock,,,,What i grow dont  come out well,,,,high interest rates,High Interest,,,,Access to a loan that is less than what i want,Insufficient Disbursement Amount,,
12,how to grow other better crops apart from tea,Information,New crops,,Training,,,,,more and constant trainings.,Training,,,,,,,"price fracturation 

Pestsides",Prices,Price fluctuation,Inputs,Limited,,,,,use money for other activities to fercilitate the other,Innovation ,Income generating activiteis,,,,idears,materiald to use,Lack of information/resources/demonstrations,,,Talk to our farmer leaders,Farmer Promoters,,,water,Water,,,,the weather keeps changing,,,,"It takes time to get aloan
High interest rate",High Interest,Disbursement Timeline,,,delay in accessing the loan by the SACCO,Delayed Disbursement,,
13,Information about new farm inputs and how to apply them,Information,Inputs,Use of inputs,,,,,,Farmers associations to help us with money so as to carry out these ideas,Finance,,,,,,,LOW PRICE OF TEA is a challenge,Prices,Low prices,,,,,,,Non,None,,,,,what i hv learnt,l will have no challenge becouse am very prominate person in this community,No Challenges,,,working with other stake holders,Work with other stakeholders,,,"buying manures,mulches",Farm Costs,,,,Soil infertility,,,,"BANKS DO NOT LOAN OUT THE EXACT MONEY REQUESTED FOR.
MONEY IS USUALLY REDUCED",Lower amount distributed,,,,no challenges,No Challenge,,
14,More information about market,Information,Markets,,,,,,,We would like to be provided with loan facilities from our societies with good interest rates.,Finance,,,,,,,less man power and finance,Labour ,Shortage,Finance,,,,,,saling part of my land to support my farm,Sell,Land,,,,information,Farmers dont show up,Poor Committment,,,use other options,NA,,,home basics,Daily Expenses,,,,Soil is still fertile,,,,HIGH INTEREST RATES,High Interest,,,,no challenge apart from uncertainities.,No Challenge,,
15,information on market,Information,Markets,,,,,,,To help us get easy access to government support or agricultural bodies.,Government access,,,,,,,Financial challenges,Finance,,,,,,,,Not thought of any solution,None,,,,,To also improve their ways of farming so that they can both improve their household income,material to be used,Lack of information/resources/demonstrations,,,come at one center piont,Demonstration farm,,,building,Investment,,,,soil infertility,,,,farmer hasnt faced any problem,No Challenge,,,,delays in the time taken to get the loan.,Delayed Disbursement,,
16,Advise about my farming activities,Training,Farm management,,,,,,,providing us with pesticides to eradicate the diseases,Inputs,Agrochemicals,,,,,,labour costs and fertilizers,Labour ,Costs,Inputs,Fertilizer,,,,,we have no solution,None,,,,,"i would teach them how to mulch and also plant trees which will provide a shade for the crops.
making their own manure from gabbage.
removing spoilt coffee trees from plantations.",Transporting my self to other farmers,Travel,,,NOn,NA,,,mulching,Farm Costs,,,,Soil fertility is low,,,,HIgh intrest rates.,High Interest,,,,grace period is little,Repayment Hard,,
17,more information about tea,Information,Tea,,,,,,,"most times i do things on my own on the farm but when i feel i can nolonger handle alone,i find more help.",Support,,,,,,,have less output in tea production,Crops,Low productivity,,,,,,,have no option,None,,,,,"Especially on the coffee diseases,i can teach them on how to fight it so that we later have good produce as farmers",NO CHALLENGE,No Challenges,,,none,NA,,,farming,Farm Costs,,,,the soil fertility is not changing,,,,no challenge,None,,,,It takes some time to get a loan in you apply.,Delayed Disbursement,,
18,to experiance in good farming methords,Training,Good agricultural practices,,,,,,,If iam given financial assistance i would easily be able to carry them out.,Finance,,,,,,,We low income againest the expendictures,Income,Low,Vs Expenditures,,,,,,i just have to work so harder to bridge the gup,Work harder,,,,,All the information i have got so as to work together as a group for better yields.,Non,No Challenges,,,na,NA,,,Farming,Farm Costs,,,,The land is still fair,,,,the bank needs a lot of security anf alot of bureacy to access a loan,Background Check,Disbursement Timeline,,,High interest rate,High Interest,,
19,information on grazzing,Information,Livestock,Grazing,,,,,,To train me in ways that can ease my farming so that i increase my production capacity,Training,Yield improvement,,,,,,the price of tea keeps on changing,Prices,Price fluctuation,,,,,,,Not yet,None,,,,,I would tell them whatever i have been taught,No challenge,No Challenges,,,make sure i talk to farmers one by onep,Visit Fellow Farmers Farms,,,Helping others who need help.,Helping Others,,,,Poor state of land,,,,farmer has not got any challenge,No Challenge,,,,"High interest rates
Needs collateral security",High Interest,,
20,Grazing training,Information,Livestock,Grazing,,,,,,more trainings.,Training,,,,,,,fertilizers for tea,Inputs,Fertilizer,,,,,,,timmly weeding,Farm management,Weed control,,,,i would tell the how to dig a hole put in waste products and keep feeding our crops,Mobilising farmers is the main challenges,Poor Committment,,,To keep encouraging them and not get tired,Committed Farmers,,,My shop,Investment,,,,soil fertility,,,,we dont get monet in time and alot of secutity,Delayed Loan,,Background Check,,No big challenge,No Challenge,,
21,information about bee keeping,Information,Bee keeping,,,,,,,Help on how to make my own fertilizers and where to get wastes.,Inputs,Fertilizer,Homemade,,,,,Fertilizers and price changes,Inputs,Fertilizer,Prices,Price fluctuation,,,,,use other posible ways,Other options,,,,,"i would tell them that inorder to combat the pests and diseases affecting coffee,they should cut thr affected pieces and burn them. and they can only do this by going through their farms everyday",Some members take long to understand and do what you are doing,Communication,,Poor Understanding,Alot of sensitization and trainings,Sensitization,,,LABOUR,Wages,,,,we dont have fertilizers,,,,they require alot of security and increased rates of intrests,High Interest,,Background Check,,No challenge,No Challenge,,
22,coffee information,Information,Coffee,,,,,,,"More training and workshops.
To also be taken to demostration farms and tours outside our locality.",Training,Farm demonstrations,,,,,,Fertilizers,Inputs,Fertilizer,,,,,,,He contrals weed,Farm management,Weed control,,,,"when they come to my farm and feel like learning,i can teach them.","Some are slow in implementing new ideas,they only do when they see my results",Lack of information/resources/demonstrations,,People lack necessities to implement new skills,Increased sensitization and trainings.,Sensitization,,,MY CHILDREN,Family,Children,,,we have no faterlizers,,,,too much intrest rates,High Interest,,,,At times it takes time to get the loan,Delayed Disbursement,,
23,We apply manure but qe dont know the soil we have so i need more informatio  about manure,Soil management ,Soil quality analysis,,Inputs,Compost,,,,To be given assistance through loans from our farmer groups,Finance,Farmer groups,,,,,,"labour cost is so high 
financial challenges",Labour ,Costs,,,,,,,come up with other generating activities like growing of bananas for sale,Innovation ,Income generating activiteis,Bananas,,,How they can prune their coffee and make it yield better produce,Some do not take on the information because they do not believe.,Fellow farmers do not accept training,,,To be provided with transportation and easy and accessible means of communication.,Funding to travel,,Communication,BUYING LAND,Land Purchase,,,,i didn't buy fertilizers this year,,,,makes get broke for some time after paying the loan,Repayment Hard,,,,If you dont have shares you get less money,Insufficient Disbursement Amount,,Shares
